lattice_size,L,repeat,seed,T,burn_in_cycles,production_cycles,production_steps_recorded,acceptance_rate,E_per_spin,E2_per_spin2,M_per_spin,M2_per_spin2,abs_M_per_spin,C_per_spin,chi_per_spin
8x8,8,3,808023,5.0,300,700,44800,0.693578125,-0.4119866071428571,0.20708984375,0.0036669921875,0.044910125732421875,0.0036669921875,0.09563361096938777,0.5746774899291992
8x8,8,4,809000,0.25,300,700,44800,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
8x8,8,4,809001,0.5,300,700,44800,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
8x8,8,4,809002,0.75,300,700,44800,0.000125,-1.9998102678571428,3.9992647879464287,0.9999525669642857,0.9999066162109375,0.9999525669642857,0.002694316893464727,0.00012629610438352756
8x8,8,4,809003,1.0,300,700,44800,0.00075,-1.9978376116071428,3.9916727120535715,0.9994580078125,0.9989363098144531,0.9994580078125,0.020325740892076283,0.0012800277709885677
8x8,8,4,809004,1.25,300,700,44800,0.0039375,-1.9855608258928572,3.9442782156808036,0.9962862723214285,0.9927122279575893,0.9962862723214285,0.07481025988519832,0.006445646922838932
8x8,8,4,809005,1.5,300,700,44800,0.012625,-1.958642578125,3.8417554582868303,0.9887785993303572,0.9781346566336495,0.9887785993303572,0.15572506859187898,0.01926562730438282
8x8,8,4,809006,1.75,300,700,44800,0.0321875,-1.8896247209821428,3.5863573346819195,0.9679554966517857,0.9385806928362165,0.9679554966517857,0.3275911530595944,0.06008134721138601
8x8,8,4,809007,1.8,300,700,44800,0.041546875,-1.8597140066964286,3.4778509521484375,0.9584981863839286,0.9209231349400112,0.9584981863839286,0.3815262310232734,0.0783773027104336
8x8,8,4,809008,1.9,300,700,44800,0.059625,-1.81392578125,3.325862862723214,0.9390318080357143,0.8878727068219866,0.9390318080357143,0.6300032858023932,0.2052032107507903
8x8,8,4,809009,2.0,300,700,44800,0.0786875,-1.7361886160714286,3.0567543247767857,0.9103118024553571,0.8374881635393415,0.9103118024553571,0.6784546272122114,0.2822587471942519
8x8,8,4,809010,2.1,300,700,44800,0.09528125,-1.6947865513392857,2.9181327601841516,0.8944029017857142,0.8093307495117188,0.8944029017857142,0.6651255232093187,0.28568986785562817
8x8,8,4,809011,2.2,300,700,44800,0.124296875,-1.613740234375,2.6638943045479913,0.8612353515625,0.7551204354422433,0.8612353515625,0.7899075769561832,0.3896466810548463
8x8,8,4,809012,2.3,300,700,44800,0.20059375,-1.380712890625,2.0165032958984375,-0.1700502232142857,0.5453221348353795,0.1700502232142857,1.3324486600879484,14.36953200473464
8x8,8,4,809013,2.4,300,700,44800,0.2581875,-1.2807589285714285,1.7485166713169642,0.139755859375,0.4498800223214286,0.139755859375,1.201924868905898,11.475955255780901
8x8,8,4,809014,2.5,300,700,44800,0.2654375,-1.280693359375,1.747359357561384,0.07309430803571429,0.4965830775669643,0.07309430803571429,1.0975628985770072,12.575751672313457
8x8,8,4,809015,2.6,300,700,44800,0.279484375,-1.2583356584821428,1.6866790771484375,0.4746079799107143,0.484583260672433,0.4746079799107143,0.9777083809775106,6.383520641907793
8x8,8,4,809016,2.7,300,700,44800,0.355296875,-1.0389927455357142,1.1731733049665178,0.027430245535714284,0.3067590767996652,0.027430245535714284,0.8223199314407804,7.253491162773703
8x8,8,4,809017,2.8,300,700,44800,0.396359375,-0.97927734375,1.0586286272321428,-0.03298200334821429,0.2640368434361049,0.03298200334821429,0.8134245816333652,6.010263563228418
8x8,8,4,809018,3.0,300,700,44800,0.437140625,-0.8883844866071429,0.8640202985491071,0.10378348214285714,0.21213091169084822,0.10378348214285714,0.5318634844790774,4.295677877869898
8x8,8,4,809019,3.25,300,700,44800,0.51009375,-0.7230412946428572,0.5789791434151785,0.03375627790178572,0.10792391095842634,0.03375627790178572,0.34046745543261653,2.1028317471634463
8x8,8,4,809020,3.5,300,700,44800,0.54275,-0.6746261160714285,0.5020823451450893,-0.03611328125,0.0947000994001116,0.03611328125,0.24535222156783665,1.7078112972337374
8x8,8,4,809021,4.0,300,700,44800,0.604828125,-0.5562653459821428,0.35140633719308034,0.004420340401785714,0.0696985081263951,0.004420340401785714,0.16790080820978903,1.114863499474039
8x8,8,4,809022,4.5,300,700,44800,0.657,-0.48101143973214283,0.2717559814453125,-0.03237862723214286,0.05676613943917411,0.03237862723214286,0.12763330778745244,0.7924304204478015
8x8,8,4,809023,5.0,300,700,44800,0.686875,-0.44057198660714286,0.232318115234375,0.007932477678571428,0.045223868233816966,0.007932477678571428,0.09782896601961098,0.5780600836057079
8x8,8,5,810000,0.25,300,700,44800,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
8x8,8,5,810001,0.5,300,700,44800,0.0,-2.0,4.0,1.0,1.0,1.0,0.0,0.0
8x8,8,5,810002,0.75,300,700,44800,3.125e-05,-1.999896763392857,3.9995999581473214,0.9999741908482143,0.9999491882324218,0.9999741908482143,0.001467041347849671,6.87675631828218e-05
8x8,8,5,810003,1.0,300,700,44800,0.00071875,-1.9966880580357143,3.987177734375,0.9991566685267858,0.9983416094098773,0.9991566685267858,0.02653012944435318,0.0017639134932494471
8x8,8,5,810004,1.25,300,700,44800,0.00403125,-1.9841057477678572,3.9387200927734374,0.9958307756696428,0.9918311200823102,0.9958307756696428,0.0837416733896498,0.007791939149194604
8x8,8,5,810005,1.5,300,700,44800,0.01296875,-1.95287109375,3.820604248046875,0.9867020089285714,0.9742798723493303,0.9867020089285714,0.19623080512152077,0.029824764827807826
8x8,8,5,810006,1.75,300,700,44800,0.03540625,-1.877289341517857,3.5415325927734376,0.9638009207589285,0.9308549499511719,0.9638009207589285,0.3618966673635367,0.07104859777511965
8x8,8,5,810007,1.8,300,700,44800,0.037875,-1.8633816964285714,3.492764369419643,0.9590590122767857,0.9224538966587612,0.9590590122767857,0.4063806979678492,0.0945673823799985
8x8,8,5,810008,1.9,300,700,44800,0.063515625,-1.8111537388392858,3.3132806396484376,-0.9412374441964285,0.8902219935825892,0.9412374441964285,0.5850907290754813,0.14464226442658845
8x8,8,5,810009,2.0,300,700,44800,0.078625,-1.749541015625,3.1033795166015623,0.9105001395089286,0.8410291181291852,0.9105001395089286,0.6797720199584916,0.38459565066901646
8x8,8,5,810010,2.1,300,700,44800,0.1038125,-1.6924190848214287,2.9157681710379464,0.13675013950892856,0.8049698965890068,0.13675013950892856,0.7471863926732922,23.962492828443285
8x8,8,5,810011,2.2,300,700,44800,0.12934375,-1.5864453125,2.575049525669643,0.8460735212053572,0.7324150521414621,0.8460735212053572,0.7701262296386169,0.4821716031019656
8x8,8,5,810012,2.3,300,700,44800,0.1884375,-1.4757142857142858,2.2575537109375,0.7689313616071428,0.6368850708007813,0.7689313616071428,0.9656989988812184,1.2696941060943778
8x8,8,5,810013,2.4,300,700,44800,0.259359375,-1.2223158482142857,1.5955038016183036,0.21319893973214285,0.4148282732282366,0.21319893973214285,1.1271974313610538,9.849986275342047
