cycle,E_per_spin,M_per_spin
485,-1.75,-0.9375
486,-1.75,-0.9375
487,-1.6875,-0.875
488,-1.5625,-0.84375
489,-1.625,-0.84375
490,-1.625,-0.90625
491,-1.5,-0.84375
492,-1.625,-0.90625
493,-1.75,-0.90625
494,-1.625,-0.90625
495,-1.75,-0.9375
496,-1.375,-0.78125
497,-1.3125,-0.71875
498,-1.375,-0.75
499,-1.375,-0.8125
500,-1.6875,-0.90625
501,-1.75,-0.9375
502,-1.8125,-0.9375
503,-1.5625,-0.84375
504,-1.4375,-0.8125
505,-1.4375,-0.78125
506,-1.375,-0.75
507,-1.4375,-0.84375
508,-1.3125,-0.75
509,-1.5,-0.84375
510,-1.375,-0.8125
511,-1.6875,-0.90625
512,-1.125,-0.59375
513,-1.1875,-0.75
514,-1.5,-0.84375
515,-1.6875,-0.90625
516,-1.5625,-0.875
517,-1.875,-0.96875
518,-2,-1
519,-1.875,-0.96875
520,-2,-1
521,-1.6875,-0.875
522,-1.75,-0.875
523,-1.75,-0.90625
524,-1.625,-0.90625
525,-1.625,-0.875
526,-1.5625,-0.875
527,-1.5,-0.78125
528,-1.25,-0.75
529,-1.3125,-0.78125
530,-1.125,-0.65625
531,-1.1875,-0.6875
532,-1.4375,-0.8125
533,-1.8125,-0.9375
534,-1.875,-0.96875
535,-1.625,-0.875
536,-1.625,-0.90625
537,-1.5,-0.875
538,-1.6875,-0.8125
539,-1.5625,-0.84375
540,-1.4375,-0.75
541,-1.875,-0.96875
542,-1.8125,-0.9375
543,-1.8125,-0.9375
544,-1.6875,-0.90625
545,-1.5,-0.78125
546,-1.5625,-0.8125
547,-1.4375,-0.75
548,-1.4375,-0.78125
549,-1.5625,-0.84375
550,-1.625,-0.75
551,-1.5,-0.75
552,-1.375,-0.78125
553,-1.625,-0.875
554,-2,-1
555,-2,-1
556,-1.875,-0.96875
557,-1.875,-0.96875
558,-1.8125,-0.9375
559,-2,-1
560,-1.6875,-0.90625
561,-1.5,-0.84375
562,-1.625,-0.90625
563,-1.6875,-0.90625
564,-1.8125,-0.9375
565,-1.75,-0.90625
566,-1.5625,-0.875
567,-1.75,-0.9375
568,-1.625,-0.90625
569,-2,-1
570,-1.75,-0.9375
571,-1.875,-0.96875
572,-1.75,-0.9375
573,-1.875,-0.96875
574,-1.625,-0.90625
575,-1.75,-0.9375
576,-2,-1
577,-1.875,-0.96875
578,-1.6875,-0.90625
579,-1.5625,-0.84375
580,-1.5625,-0.8125
581,-1.4375,-0.78125
582,-1.375,-0.8125
583,-1.625,-0.90625
584,-1.875,-0.96875
585,-1.875,-0.96875
586,-1.875,-0.96875
587,-1.875,-0.96875
588,-1.75,-0.90625
589,-1.5,-0.8125
590,-1.3125,-0.8125
591,-1.625,-0.90625
592,-1.5625,-0.84375
593,-1.75,-0.9375
594,-1.75,-0.9375
595,-1.4375,-0.8125
596,-1.375,-0.75
597,-1.375,-0.75
598,-1.1875,-0.5625
599,-1.3125,-0.71875
600,-1.25,-0.65625
601,-1.25,-0.75
602,-1.1875,-0.71875
603,-1.625,-0.84375
604,-1.25,-0.6875
605,-1.3125,-0.6875
606,-1.4375,-0.71875
607,-1.5,-0.8125
608,-1.5,-0.78125
609,-1.375,-0.78125
610,-1.375,-0.75
611,-1.4375,-0.71875
612,-1.5,-0.71875
613,-1.1875,-0.53125
614,-1.5,-0.8125
615,-1.8125,-0.9375
616,-1.625,-0.90625
617,-1.5,-0.84375
618,-1.3125,-0.71875
619,-1.5,-0.84375
620,-1.75,-0.9375
621,-2,-1
622,-1.875,-0.96875
623,-1.625,-0.90625
624,-1.875,-0.96875
625,-1.8125,-0.9375
626,-1.5625,-0.875
627,-1.6875,-0.8125
628,-1.5,-0.78125
629,-1.1875,-0.75
630,-1,-0.625
631,-1.375,-0.6875
632,-1.5,-0.75
633,-1.0625,-0.53125
634,-1.125,-0.5625
635,-1.375,-0.59375
636,-1.25,-0.6875
637,-1.5,-0.84375
638,-1.6875,-0.875
639,-1.6875,-0.90625
640,-1.875,-0.96875
641,-1.4375,-0.84375
642,-1.625,-0.90625
643,-1.875,-0.96875
644,-1.75,-0.9375
645,-1.875,-0.96875
646,-2,-1
647,-1.875,-0.96875
648,-1.75,-0.9375
649,-2,-1
650,-2,-1
651,-1.875,-0.96875
652,-1.875,-0.96875
653,-1.75,-0.9375
654,-1.5,-0.875
655,-1.25,-0.8125
656,-1.4375,-0.84375
