L,T,E_per_spin_mean,E_per_spin_stderr,abs_M_per_spin_mean,abs_M_per_spin_stderr,acceptance_rate_mean
32,1.75,-1.8797484885321722,0.002530531723934276,0.9642245165506997,0.0007403650229464643,0.03464925130208333
32,1.8,-1.8586493301391602,0.003897965135470886,0.9567566511366103,0.0013889002085690327,0.0413134765625
32,1.9,-1.8086101235283747,0.002625122817320447,0.9387356334262424,0.0010685221696736386,0.05724365234375
32,2.0,-1.7474799558851455,0.0006745079105448715,0.9121416600545248,0.0015893653987190445,0.07904052734374999
32,2.1,-1.661626336839464,0.002404392586914054,0.8715233018663194,0.002424482174915196,0.10634765625000002
32,2.2,-1.5525125842624241,0.004891729570430299,0.8007081582811143,0.006368432768089538,0.14603841145833332
32,2.3,-1.3997785653008357,0.0333542888398712,0.6426761711968316,0.0783043283377536,0.2021866861979167
32,2.4,-1.2226437081231012,0.03646780990067324,0.339116391075982,0.13076807234961288,0.26420735677083335
32,2.5,-1.1110481686062281,0.01096627453232664,0.15760645548502605,0.02712053192319426,0.31171630859375005
32,2.6,-1.0288060633341471,0.006183432233618838,0.06118768903944228,0.05004520693930797,0.3518359375
32,2.7,-0.9576534186469184,0.011405570154351282,0.045971535576714406,0.008915853203210745,0.3834244791666666
32,2.8,-0.9122908994886609,0.0030575013272775725,0.017716471354166666,0.0025378354010107775,0.40819661458333334
32,3.0,-0.8139775297376844,0.005159505027123776,0.0174859258863661,0.005510308936687212,0.4576432291666667
32,3.25,-0.7285797924465602,0.004387305365000891,0.02942424986097548,0.003377244981577248,0.50549560546875
32,3.5,-0.6530927742852105,0.0034987311225511894,0.007134600745307075,0.003056315747130017,0.5462329101562501
32,4.0,-0.5634438027275933,0.0007027102930700488,0.002895751529269748,0.0018894814340672036,0.6056168619791666
32,4.5,-0.4843068228827582,0.002357971814127826,0.0044181357489691845,0.003385525129447379,0.6536637369791667
32,5.0,-0.4285746637980143,0.0011845481536759412,0.005681593153211806,0.002365596959791593,0.6906868489583333
